id,nome,tipo_lixo,latitude,longitude,endereco
001,Zero Impacto Logística Reversa,"eletroeletronicos\,eletrodomesticos\,pilhas",-15.762421707078582,-47.935475219000324,Saa Q 2 SETOR DE ABASTECIMENTO E ARMAZENAMENTO NORTE QUADRA 02 LOTE 805
002,SEMA DF (Secretaria de Estado de Meio Ambiente e Recursos Hídricos do Distrito Federal),"eletroeletronicos\,eletrodomesticos\,pilhas",-15.755712652216836,-47.89334378817608,SEPN CRN 511 Ed. Bittar III - Bloco B
003,Carrefour Hipermercado,"eletroeletronicos\,eletrodomesticos\,pilhas",-15.733847664170918,-47.899207515917645,Boulevard Shopping ST Setor Terminal Norte Lote J
004,DF Plaza Shopping,"eletroeletronicos\,eletrodomesticos",-15.831532013096274,-48.041291760541554,R. Copaíba lote 01 - Águas Claras
005,Jarjour Asa Norte,"eletroeletronicos\,eletrodomesticos\,pilhas",-15.76841785783375,-47.881690602871956,PAG SHCN Bloco A - Plano Piloto
006,Jarjour Asa Sul,"eletroeletronicos\,eletrodomesticos\,pilhas",-15.822779626350073,-47.90847802006243,SHCS SQ 210 Bloco A PAG SHCS - Asa Sul
007,Posto Jarjour Taguatinga,"eletroeletronicos\,eletrodomesticos\,pilhas",-15.840028813343814,-48.05057957588384,Setor B Sul Csb 8 Lotes 1/5 - Taguatinga
008,Loja Vivo Lago Sul,eletroeletronicos,-15.845953325613518,-47.895737606568666,St. de Habitações Individuais Sul QI 5 Bloco H Loja 5 e 6 - Lago Sul
009,Loja Vivo Ceilandia,eletroeletronicos,-15.818971489699189,-48.10731197403482,St. M QNM 01 Conjunto B Lote 01 - Ceilândia
010,Loja Vivo Paranoa,eletroeletronicos,-15.76485235330142,-47.78027873170767,Av. Paranoá Conjunto 19 e 20 - Paranoá
011,Loja Vivo Recanto das Emas,eletroeletronicos,-15.902164510329207,-48.06041177403253,Q 102 Quadra 205 Conjunto 04 - Recanto das Emas
012,Loja Vivo Samambaia Norte,eletroeletronicos,-15.860285656506688,-48.073196077732725,Quadra Qs Samambaia Norte 6 - 412 Bloco F
013,Loja Vivo Sobradinho,eletroeletronicos,-15.650190001288705,-47.78368940472464,Quadra 14 Área Especial 03 Lote 03/04 - Loja 02/04 - Sobradinho
014,Loja Vivo Taguatinga,eletroeletronicos,-15.83581597353088,-48.05659295074723,Csb 2 Lotes 1/4 1º Piso - Loja PA44 Taguatinga Centro - Taguatinga
